survey_record_id,sentence_id,sentence_group_id,created_at,label,words,factual
cd0bc7394bd8486c825c452de1640d06,074738e06ceb4ed49d62a11c3e10ee34,58,2020-07-22 19:51:40,Biased,"championed,glowing",Expresses writer’s opinion
cd0bc7394bd8486c825c452de1640d06,091be1b2f6cc454e8d56e2bc536159ff,58,2020-07-22 19:52:03,Non-biased,egalitarian ,Somewhat factual but also opinionated
cd0bc7394bd8486c825c452de1640d06,0a87cbab244d4f6ea302322945ddc80a,58,2020-07-22 19:52:27,Non-biased,White nationalism,Somewhat factual but also opinionated
cd0bc7394bd8486c825c452de1640d06,0b734f30fc1648ca826c0d585b4fa5b7,58,2020-07-22 19:53:21,Biased,"obviously,right-wing",Somewhat factual but also opinionated
cd0bc7394bd8486c825c452de1640d06,1400cea3d7074faab7fbd6f215a10d43,58,2020-07-22 19:53:39,Biased,do-nothing ,Expresses writer’s opinion
cd0bc7394bd8486c825c452de1640d06,23bb5ed833854b498763279c7427bdb2,58,2020-07-22 19:54:12,Biased,"MAGA-hat-clad,contemptuous,sneers,suckers ",Expresses writer’s opinion
cd0bc7394bd8486c825c452de1640d06,41e3bd6168f54843b64548d0830d43af,58,2020-07-22 19:54:37,Biased,"agitated ,crush,trutherism",Somewhat factual but also opinionated
cd0bc7394bd8486c825c452de1640d06,460a377b8b9a4b6d8a6d08119021bfec,58,2020-07-22 19:55:17,Biased,"elite,chaotic,fractured",Expresses writer’s opinion
cd0bc7394bd8486c825c452de1640d06,53448102819d4d34b7a457dbb0dc5747,58,2020-07-22 19:55:44,Non-biased,"dirty,lying",Entirely factual
cd0bc7394bd8486c825c452de1640d06,675db3e83fc34168aae40bc555b765d8,58,2020-07-22 19:56:03,Non-biased,"eloquently,blasted",Somewhat factual but also opinionated
cd0bc7394bd8486c825c452de1640d06,7494ce51a03048a9ab2efa8028f3fab2,58,2020-07-22 19:56:40,Biased,"euphemisms,alarm",Somewhat factual but also opinionated
